#31	VV CD CD NN IN NN NN !#31/NN
$	IN !$/$ CD
hood	CD NN IN NN !hood/NN
hoodie	NN NNS VVD JJ NN !hoodie/NN IN NN
hoodies	!hoodies/NNS
hoodwinked	!hoodwink/VVN
hoody	VV CD NN IN NP NP NN !hoody/NN IN NN
hooks	VV NN NN NN !hook/VVZ IN NN IN NN
hoop	VV CD NN IN !hoop/NN NNS
hooray	NN NN !hurrah/NNS IN NN NN
hoover	VV CD NN IN !hoover/NN NN JJ JJ JJ NN
hoovervacuum	CD NN IN !hoovervacuum/NN
hop	CD NN RB VV !hop/NN VV NNS NN NN
horizon	CD NN IN NN !horizon/NN CD NN CD NN NN
horn	CD NN IN JJ JJ NN !horn/NN NN
horror	CD NN IN JJ !horror/NN NN NN
horse	VV CD NN IN JJ NNS NN !horse/NN CC NN
horsepower	CD !horsepower/NN
hortons	NN !Horton/NNS
hose	VV CD NN IN NN NN JJ !hose/NN NN
hosiery	!hosiery/NN
hospital	VV CD NN IN NN JJ NNS !hospital/NN NN
hosta	VV NN IN JJ NNS !hosta/NN NN
hot	!hot/JJ
hot-cool	VV NN IN !hot-cool/NN NN NNS
hot-day	NNS NN !hot-day/NN NNS NNS
hote	!hote/NN
hotel	VV CD NN IN !hotel/NN NN NN NNS
hotels	VV JJ CD NN IN !hotel/NNS
hoth	!hoth/NN NN
hotkey	!hotkey/JJ NN NN
hots	NN NN CC JJ !hots/NNS NNS RB TO CD NN RP
hotshot	VV CD NN IN NN !hotshot/NN JJ NN NN
hotter	NN NNS !hot/JJR IN NN NN
hottest	JJ NNS IN DT !hot/JJS NN
houe	NN NN NN JJ JJ !houe/NN
hour	NNS VVD JJ !hour/NN
hours	CD !hour/NNS
house	VV CD NN IN NN NNS NN NN NN !house/NN NN NN
household	VV NN IN NN IN JJ !household/NN NNS
houses	VV CD NN IN JJ NN !house/NNS
housewares	!houseware/NNS
houtte	CD NN IN NP !houtte/NP JJ NN NN NNS
hoverbird	VV CD NN IN !hoverbird/NN JJ NNS
hoverboards	CD NN IN !hoverboards/NNS
how	VV CD NN IN !how/WRB NP VVD PP$ NN
hp	VV CD NN IN !hp/NN NN JJ NN NN
hr	VV CD NN IN JJ NN NN NN SYM CD NN IN NN JJ !hr/NN NNS JJ NN SYM CD NN IN NNS
hr+	VV CD NN IN NN NN !hr+/NN NNS NN NN
hricane	VV CD NN IN !hricane/JJ NN NN CD
htc	NN !htc/NN VV JJ JJ NN
hudson	VV CD NN IN IN NN NN !Hudson/NN NN
hudsons	!hudsons/NNS NN NN NNS
hue	VV CD NN IN JJ !hue/NN JJ NNS
hug	NNS !hug/NN FW NN NN
huge	!huge/JJ NNS IN DT JJS NN
huggies	VV NN IN !huggies/NNS NN NN NNS
hugo	VV !hugo/NN NN NN IN RB JJ
huion	VV CD NN IN JJ !huion/NN NNS CC NNS
human	!human/JJ NN
humanity	NNS IN !humanity/NN
humble	DT !humble/JJ NN NN CD
humidifier	!humidifier/NN IN NN
humidity	VV CD NN IN JJ JJ !humidity/NN NN
hummer	DT NN NN NN !hummer/NN NN NN IN DT NN
hummingbird	VV CD NN IN JJ NP !hummingbird/NN NN JJ NN
hummus	VV NN IN NN !hummus/NN
humphrey	!Humphrey/NP NP
hundreds	VV IN !hundred/NNS IN NNS IN JJ NNS
hunger	NN VV CD NN IN DT !hunger/NN NNS VV JJ NN
hunt	VVP CD JJR NN !hunt/NN NN NN
hunter	VV CD NN IN NN !hunter/NN NN NN NN
huntsman	VV CD NN IN JJ JJ NN !huntsman/NN NN NN
hurricane	VV CD NN IN !hurricane/NN CD NN VV NN
hurry	!hurry/NN
hurt	NN !hurt/VVD NN NNS
hush	CC !hush/NN NNS NN SYM RB TO NN IN JJ NN NNS
hushpuppies	!hushpuppies/NNS NN NN NNS
husky	VV CD !husky/JJ NN NNS IN RB JJ
hustle	VV CD NN IN IN NN !hustle/NN NN NN
hut	NN !hut/NN NN NNS
hv	VV CD NN IN NN NN NN JJ JJ !hv/NP NP NN
hx3211/	VV CD NN IN JJ NN NN VVG !hx3211//NP CD
hx40	VV CD NN IN NN NN !hx40/NN JJ VVN NN NN NN
hyal-urea	JJ NN NN !hyal-urea/NN NN NN
hybas	VV CD NN IN !hybas/NNS NN NNS
hybrid	CD NN IN JJ JJ JJ !hybrid/JJ NN
hydrangea	VV NN RB RB IN PP$ NN IN DT JJR !hydrangea/NN
hydrangeas	VV NN IN CD !hydrangea/NNS
hydration	VV CD NN IN JJ !hydration/NN NN NN NN NN NN
hydrator	JJ JJ !hydrator/NN NN IN JJ NN
hydro	VV NN IN DT JJ !hydro/JJ NN IN NNS CC NNS
hylamide	CD NN IN !hylamide/NN
hyndai	VV CD NN IN !hyndai/NNS JJ
hynes	CD NN IN !hynes/NNS NN NNS
hyperikon	CD NN IN JJ VVN NNS IN !hyperikon/NN
hyperselect	VV CD NN IN !hyperselect/NN JJ VVN NN NN NN
hypoallergenic	VV CD NN IN JJ NN !hypoallergenic/JJ JJ JJ NN NN NN
hyundai	VV !Hyundai/NP JJ NN NN IN RB JJ
i	VV CD NN IN WRB !i/NP VVD PP$ NN
i-cool	VV NN IN !i-cool/NN
i-iii	NNS !i-iii/NNS NN
i.	VV CD NN IN NN JJ !I./NN
i3	NN CD CD NN !i3/NN NN IN NN
i3-3110	NN NN CD JJ NN NN NN !i3-3110/NN NN IN NN
i5-3570k	NN !i5-3570k/NN JJ NN IN JJ
iams	VV NN IN !Iams/NP JJ NN NN
ice	VV CD NN IN !ice/NN NN NN
ice-21c	VV CD NN JJR !ice-21c/NN JJ NN
ice-cream	VV RB TO CD NN IN NN NNS !ice-cream/NN NNS
icebreaker	CD NN IN !icebreaker/NN NP NN JJ NN NNS JJ
iced	!iced/JJ NN
icedcapp	JJ NN NNS JJ !icedcapp/NP NN
icomfort	NN CD IN JJ NN !icomfort/NN NN NN
icon	VV RB TO CD NN IN NN NN !icon/NN JJ NN IN VVN NN
iconia	VV CD NN IN NN !iconia/NNS CD CD NN IN JJ CD NN NN
iconic	CD NN IN NN JJ !iconic/JJ NN NN
icy	!icy/JJ NN NNS
idea	MD JJ NN !idea/NN IN NN
ideal	VV CD NN IN !ideal/JJ NN NN NN NN
idealia	VV JJ !idealia/NN NNS
ideapad	NN !ideapad/NN NN JJ NN IN NN NNS CD IN NN
ideas	NN NN NNS NN NN !idea/NNS
ieee	NNS CD VBZ RB JJ TO !ieee/NN
iegrow	CD NN IN !iegrow/NN NN JJ CD NN NN NN VVD NN NN
ifetch	CD NN IN !ifetch/NN JJ NN NN IN NNS
ifly	VV !ifly/RB CD NN JJ NN IN NN IN CD NN
igloo	VV CD NN IN !igloo/NN NN JJ NN NN
igniter	CD NN IN NN NNS !igniter/NN CD NN NN JJ NN
ihome	VV CD NN RP IN !ihome/NN NN NN NN
ihop	!ihop/NN NN NNS
ii	VV CD NN IN NN NN VVN !ii/NP NN NN
iii	IN NN NP NN !iii/NN NNS IN NN
ikea	!ikea/NP NP JJ NN NNS IN NN
ilife	VV CD NN IN !ilife/JJ NNS JJ NN NN
illustrated	NNS !illustrate/VVD
imac	!imac/NN
imagination	CD NN IN NN !imagination/NN NN JJ NN NN
imagine	CD NN IN NP MD RB !imagine/VV NN
imaginext	VV CD NN IN JJ !imaginext/NN NN NN NN NN
imessage	JJ JJ NN NN WRB PP VVP JJ NN NN IN !imessage/NN NNS
imodium	NN CC !imodium/NN NNS
impact	VV CD NN IN !impact/NN FW JJ NN JJ NN
impeccable	VV NN IN JJ !impeccable/JJ NN NN JJ NN NN
imperial	VV CD NN IN NN NN NNS !imperial/JJ NN NN CD NN NN
imported	VV NN IN NNS !import/VVN JJ JJ NNS
imports	NN CD !import/NNS NN NNS
impossible	!impossible/JJ DT JJ NN NN NN NN
impression	VV CD NN IN NN CD NN !impression/NN NNS JJ NN
impressions	VV CD NN IN !impression/NNS CD NN VVD JJ JJ JJ NN NN NN NN
in	!in/IN NN
in-	VV CD NN JJ NN CC CD NN !in-/NN NN NP CD
in-ear	CD NN IN NN !in-ear/NN NN NN NN
in-store	!in-store/JJ
in-store&	NN NN JJR !in-store&/NN JJ
in-stores	!in-stores/NNS
inanny	CD NN IN !inanny/JJ JJ NN NN NN
inc	NN !inc/NN
inch	VV CD NN IN NN CD !inch/NN NN NN NN NN NN
inches	VV CD NN IN NN CD SYM CD NN CD !inch/NNS JJ NN NN
include	NNS NNS !include/VVP
includes	VV CD NN JJ NNS SYM CD NN IN DT NN IN PP$ NN !include/VVZ NN NN SYM JJ NN
including	VV CD NN IN NN !include/VVG NN NNS
increase	NP NP MD !increase/VV JJ NN NNS
incredibles	!incredibles/NNS CD NN
indian	JJ JJ NN NN IN NN !Indian/NN NN NP NP NN NN
indie	DT JJ !indie/NN NN CD
indigo	NNS !indigo/JJ NN NNS
indigotech	NNS JJ NN VVG !indigotech/NNS SYM NN NN RB TO CD NN RP
indispensable	CD NN IN NN !indispensable/JJ JJ NN NN
individual	!individual/JJ NNS IN NP SYM JJR NNS NNS
indochino	!indochino/NN
indoor	!indoor/JJ NN NN NN NN NN
indoor/	VV CD NN IN JJ !indoor//JJ JJ JJ JJ NN NN
indulge	VV PP$ NNS NN !indulge/VV IN NN
indulgent	VV NN IN DT NNS IN CD !indulgent/JJ NN NN NNS
industrial	NN !industrial/JJ NN JJ NN NN
industrial-grade	VV RB TO CD NN IN JJR !industrial-grade/NN NNS CC NNS
industries	CD NN IN NN !industry/NNS NN CD NN NN JJ NN
infame	CD NN IN DT NNS JJ NN FW NN !infame/NN
infant	VV CD NN IN NN !infant/NN NN NN VVP JJ NN
infant-to-toddler	CD NN IN JJ !infant-to-toddler/NN NN
infestation	NP NP VVD NP NN NN NN JJ TO JJ NN IN NNS !infestation/NN
infinitipro	CD NN IN !infinitipro/NN IN JJ JJ JJ VVG NN
infinity	VV CD NN IN NN !infinity/NN JJ NN VV VV NN
inflatable	CD NN IN NN !inflatable/NN JJ NN IN NN
inflation	VV CD NN IN NP NP NN !inflation/NN NN
infrared	VV CD NN IN VV IN NNS NN NN JJ NN NN SYM CD NN IN JJ JJ NN !infrared/JJ NNS
infuser	!infuser/NN VVZ CD IN NP SYM CD NN NNS
infusio	VVZ NN NNS VVP RP TO CD NN IN NN !infusio/NN VV
ing	!ing/NNS JJ
ingenuity	CD NN IN !ingenuity/NN NN JJ JJ NN
inherent	VV CD NN IN !inherent/JJ NN
inissia	CD NN IN NN !inissia/NN NN NN IN NNS
init	!init/NN CD JJ NN NN IN NN
initiatives	VV CD NN IN NN !initiative/NNS JJ JJ NN NN
injustice	NN IN NN IN !injustice/NN CD
ink	CD !ink/NN NNS
inkjet	VV CD NN IN NN NN JJ !inkjet/NN NN
inlife	CD NN IN !inlife/JJ NN NN JJ NN NN
inline	JJ NN IN NN NN NN NN !inline/NN NN
innerspring	VV CD NN IN NP CD NN !innerspring/NN NN NN
innogear	VV CD NN IN !innogear/NN NN JJ NN NN
innoo	VV CD NN IN !innoo/NN NN NNS VVD NN NN
innova	VV CD NN IN !innova/NN NN CC NN JJ NN NN NN
innovations	CD NN IN NN !innovation/NNS NN VVG NN NN
innovative	VV !innovative/JJ NN JJ NN CD NN NN NN IN JJ
inova	CD NN IN !inova/NP NP JJ NN
insect	CD NN IN JJ JJ !insect/NN NN
insert	VV CD NN IN NN JJ NNS NN NN JJ NN NN !insert/NN NNS IN NN
inserts	VV JJ RB WRB PP VVP DT CD NN NN !insert/NNS
insider	!insider/NN NN NP IN CD JJR VVN JJ NN NN
insignia	VV CD NN RP IN !insignia/NNS CD CD NN
inspiration	NN !inspiration/NN NN
inspirational	VV CD NN IN JJ NN NN CC JJ JJ !inspirational/JJ NN NN
inspirations	VV NN IN NN IN DT JJ NN JJ !inspiration/NNS
inspire	VV CD NN IN NNS !inspire/VVP NN NN
inspiron	NN !inspiron/NN NP JJ NN NN IN JJ
insta	VV NN IN !insta/NN NN NNS
insta-dri	VV NP JJ NN NN JJ CC !insta-dri/NN NN NN IN JJ NN
instant	NP NP JJ !instant/JJ NNS NNS NNS IN JJ NN
instantly	VV NN !instantly/RB IN PP$ JJ NN NN IN NP NN
instax	CD NN IN JJ NN !instax/NN JJ NN NN
instep	VV CD NN IN !instep/NN NN NN JJ NN
instride	VV CD NN IN NN !instride/NN NN NN
insulated	VV CD NN IN NN NN JJ NN !insulate/VVN NN NN CD NN
insulation	!insulation/NN
intec	!intec/JJ JJ NN NN NN IN NN
intel	VV CD NN IN JJ !intel/NN
intense	VV CD NN IN !intense/JJ NN NN NN
intensity	VV CD NN IN NN !intensity/NN
interac	VV !interac/JJ NN
interactive	!interactive/JJ NN
interceptor	VV CD NN IN NN NN NNS NNS NN !interceptor/NN NN CD
interdental	VV CD NN IN JJ NN NN JJ JJ JJ !interdental/JJ NN
interest	CD NN NN IN DT CD NN !interest/NN NN
interior	VV CD NN IN NN JJ JJ VVN NN !interior/JJ NN NN
internal	CD NN IN JJ !internal/JJ JJ NN NN
international	VV CD NN IN NNS !international/JJ JJ NN NN NN SYM JJ CD NN IN NN
internet	NN !Internet/NN NN CD IN NN
intex	VV CD NN IN !intex/NN NN NN
intey	CD NN IN !intey/JJ JJ NN NN NN IN NN
intimantes	VV CD NN IN JJ NP !intimantes/NNS
intimates	!intimate/VVZ
into	!into/IN DT JJ NN NN
intro	VV CD NN IN NN VVG RB CD NN NN IN NN !intro/NN NN
introducing	NNS JJ NN !introduce/VVG NNS SYM NN NN RB TO CD NN RP
invasion	CD NN IN NN NNS JJ !invasion/NN
inventor	VV CD NN IN NN NNS JJ !inventor/NN NN SYM NN
inventory	!inventory/NN NN CD NN RP
inversion	VV CD NN IN NN NN CC NN JJ !inversion/NN NN NN
inverter	CD NN IN NN CD NN JJ !inverter/NN NN
investigates	VV IN CD NN NN NP !investigate/VVZ
invicta	CD NN IN !invicta/NP NP JJ NN NN
iogo	JJ NN JJ !iogo/NN NN RB
ion	VV CD NN IN NN !ion/NN NN CD NN IN NN NN
ionflex	VV CD NN IN NN !ionflex/NN JJ JJ NN NN
ionic	CD NN IN JJ !ionic/JJ JJ NN
ios	CD JJ !ios/NNS NNS CC NNS
iottie	VV CD NN IN !iottie/NN JJ CD NN NN NNS JJ NN VV NN
ip	VV CD NN IN NN NN NP !ip/NN CD NN JJ NN
ipad	NN IN NN !ipad/NN NP CD NN NN
ipads	VV IN JJ VVN !ipads/NNS
iphone	VV CD NN IN NNS !iphone/NN NN
iphone5	JJ !iphone5/NN NN
iphones	VV IN JJ JJ VVN NN !iphones/NNS
ipl	CD NN IN !ipl/JJ NNS SYM JJR NNS NN
ipod	VVN !ipod/NN NN IN NN
ips	VV CD NN IN NP CD !ips/NN NN NN
ir	JJ NN NN NN NN NN NN !ir/NN NN NN
irish	!Irish/JJ NN JJ NN NN NN IN NN
irobot	VV CD NN IN !irobot/NN NN NN VVG NN
iron	VV CD NN IN NN NN !iron/NN NNS
ironing	CD NN IN NN FW JJ JJ JJ !ironing/NN NN
ironkids	VV CD NN IN !ironkids/NNS VVP CD NN NN NN
ironman	CD NN !Ironman/NN NN CD NN NN
irresistibles	!irresistibles/NNS NNS NNS NN CD VVP CD JJ
irresitibles	VV NN RP IN !irresitibles/NNS NNS
irwin	CD NN IN !irwin/JJ NN NN
is	NN NN !be/VBZ RB JJ
isaac	DT JJ IN !isaac/NN IN NN
isaay	!isaay/NN
island	VV CD NN IN NNS !island/NN
islander	CD NN IN NN NN !islander/NN
isle	VV CD NN IN !isle/NN NN
isles	!isle/NNS
iso	VV CD NN IN JJ NN NNS VVG !iso/NN
isolating	NN NN NN JJ !isolating/JJ NN NN
ispin	VV !ispin/NN JJ NN NN
isport	NN !isport/NN NN IN NN
issues	VV CD !issue/NNS IN NN
istrago-u	MD NP NP !istrago-u/NP JJ NN JJ NN NN NN
it	VV !it/PP VV NN NNS
italia	VV CD NN IN JJR NN NN NN NP CD !italia/NN NN NN CD
italian	VV PP$ JJ CD NN !Italian/JJ NN IN NN
italiano	VV NN !italiano/NN NN NN IN NN VVG DT PP MD VV NN CC NN CC NN NN
italy	NN CC !italy/RB
item	JJ !item/NN
items	VV RB TO CD NN IN JJ !item/NNS
items+	VV CD NN IN JJ !items+/JJ JJ NN IN NN SYM NP NN
items,50	VV RB TO CD NN IN JJ !items,50/JJ NN IN NP NNS
items-	VV RB TO CD NN IN JJ !items-/NN RB CD NNS VVD
itewms	DT JJ CD NN IN NN !itewms/NNS
its	!its/PP$ DT NN NN NN SYM PP$ DT NN NN
itunes	NN !itunes/NNS NN NN NN NNS
iv	VV CD NN IN NN !iv/NN NN JJ NN IN NN CC NN
ivation	!ivation/NN CD NN NN JJ NN NN NN IN NN
ives	!ives/JJR
ivory	NN CC !ivory/NN NN NNS
izod	!Izod/NN
j	!j/NN
j-deal	VV CD NN IN !j-deal/NN RB VVN JJ FW JJ JJ NN NN
j.	VV CD NN IN VVG !j./JJ JJ NNS NN NNS
j/	CD NN IN !j//JJ JJ JJ NN NN
j800	NN !j800/NN VVG NN IN NN
ja	VV CD NN IN VVG !ja/NN NNS JJ NN NN
jabra	CD NN IN !jabra/NNS VVP NN CC NN NN
jack	!jack/NN NNS
jackery	VV CD NN IN !jackery/JJ JJ NN NN
jacket	VV CD NN IN NP NP NN NN !jacket/NN
jackets	!jacket/NNS
jacketstoday	!jacketstoday/NN
jackson	VV CD NN IN !jackson/NN NN NN NN VVG VVG NN
jacob	!jacob/NN NNS VVP NN
jacobs	NN !jacobs/NNS
jag	VV CD NN IN !jag/NN
jalapeno	NN !jalapeno/NN NN NN IN RB JJ
jam	NN !jam/NN NN IN JJ NN IN CD RB
jamaica	!jamaica/NN CC RB
jambo	CD NN IN !jambo/NP NN NN SYM JJR NNS
jambox	CD NN IN JJ !jambox/NN IN NN
james	VV CD NN IN DT !james/NNS NN NN SYM NN
jamfest	CD NN IN !jamfest/JJS JJ NN NN IN NN
jamie	VV !jamie/NN JJR IN NN JJ NN NN VVN IN NN JJ JJ NN IN RB JJ
jamieson	!jamieson/NN NNS
jamo	!jamo/NN CD VVP NN NN NN IN NN
jan	NP NP NP NN NNS IN !Jan/NP CD CD
janeiro	VV CD NN NP !Janeiro/NP NN NN VVP CD CD NN RP
janis	!janis/NN NN VVZ VV CD
january	!january/JJ CD
jan­u­ary	CD TO !jan­u­ary/NN CD
japanese	VV RB TO CD NN IN NP !Japanese/JJ NN NNS
jar	JJ JJ NN NN !jar/NN
jars	NN !jar/NNS
javelot	CD NN IN NN !javelot/NN NNS VVD NN
jawbone	VV RB TO CD NN IN !jawbone/NN NN NNS
jaws	CD NN IN !jaws/NN CD
jays	NN NN JJ !jay/NNS NN NN IN JJ
jbw	CD NN IN !jbw/JJ NNS
jean	VV CD NN IN !jean/NN NN NN NN NN
jeanbug	NN NN NN !jeanbug/NN NN
jeannie	VV CD NN IN NP NN IN !jeannie/NN
jeans	!jean/NNS
jedi	VV CD NN IN NN NN NNS NNS !jedi/NN NN NN CD
jeecoo	VV JJ IN !jeecoo/NN NN NN
jeemak	VV CD NN IN !jeemak/NP CD NN NN NN
jeep	VV CD NN IN JJ NN NNS VVN !jeep/NN
jeffersons	DT !jeffersons/NNS
jeggings	!jeggings/NNS
jelly	CD NN IN !jelly/NN NN NN NN NNS NN NN NN
jena	!jena/NN JJ NN NN NN IN NN
jenny	VV !jenny/NN NN NP VVG NN IN NP
jerdon	VV CD NN IN !Jerdon/NP VVD JJ NN NN IN NN NN
jergens	!jergens/NNS NNS JJ CD NN
jerrys	!jerrys/NP NP NNS
jersey	JJ NN NN NN JJ NNS JJ NN NN RB !jersey/NN
jessica	VV CD NN IN JJ !jessica/NN NNS
jesurun	!jesurun/JJ JJ NNS JJ CD NN NN NN IN NN
jet	CD NN IN NN NN !jet/NN VVG NN
jeweller	CD NN IN NN !jeweller/NN
jewellers	NNS !jeweller/NNS NN
jewellery	VV CD NN IN JJ !jewellery/NN
jewelry	!jewellery/NN
jigsaw	VV CD NN IN NN CD NN NN !jigsaw/NN NN NN SYM JJ NN IN JJ NN
jj	CD NN IN JJ NNS !jj/VVG PP$ NN VV JJ JJ NN
job	DT NN !job/NN CD
jobsite	VV CD NN IN NN JJ NN NN !jobsite/NN NN
jockey	VV CD NN IN JJ !jockey/NN NN
jockeys	VV CD NN IN JJ !jockey/NNS NNS
joe	!jo/NN JJ NN NNS
jogger	VV CD NN IN NP !jogger/NN NN
joggers	!jogger/NNS IN NP SYM JJ NN IN DT NNS
john	CD NN IN !john/NN NN NN NN
johns	NN !john/NNS NP NP NN NNS
johnson	NN NN VVN NNS IN NN !johnson/NN IN NN NNS NN
join	JJ NN WRB PP !join/VVP NN NN NN NN
joiner	VV CD NN IN JJ CD NN NN !joiner/NN NN
jolie	VV CD NN IN NN NP JJ !jolie/NN NN
jolly	VV CD NN IN !jolly/JJ NN NN NN
jolt	VV CD NN IN NP NN NN !jolt/NN NN NN NN NN
jones	!jones/NN NNS
joola	VV CD NN IN !joola/NN NN CD NN NN NN
joshua	CD NN IN !joshua/NN
josie	VV CD NN IN JJ !josie/NN NN NN
journal	NN NN !journal/NN NN IN NN
journey	!journey/NN IN NN NN
joy	NN NN CD NNS IN !joy/NN
joy-con	NN NN VV NN NN CC NN JJ !joy-con/NN NN IN NN
joyful	VV DT VB !joyful/JJ NN JJ IN JJ NN
joyous	VV CD NN IN !joyous/JJ NN
jr	CD NN IN NN !jr/NN
judd	CD NN IN NN NN !judd/NN JJ NN NN IN JJ NN
jug	VV CD NN IN NN NN JJ NN !jug/NN
juice	NN !juice/NN NN NNS
juicer	VV NN IN JJ JJ !juicer/NN RB JJ IN JJ NN
juicy	VV NN NN IN NN IN NP SYM CD !juicy/JJ NNS NNS
julius	JJ NN SYM JJ NN NN NN !julius/NN
july	!july/RB CD
jumanji	!jumanji/NNS
jumbo	CD NN IN NNS NN NNS NN JJ !jumbo/JJ NN
jump	VV CD NN IN NN NN NN NN !jump/NN IN NN
jumper	VV CD NN IN JJ !jumper/NN NN NN
jumperoo	VV CD NN IN JJ JJ NN NN !jumperoo/NN
jumpin	CD NN IN JJ NNS VVG PP$ !jumpin/NN VV JJ JJ NN
jumpsuit	VV JJ !jumpsuit/NN IN RB JJ JJ RB
jun	MD CD TO !Jun/NP CD
june	!June/NP CD
june16	NN CD TO !june16/NN
jungle	VV TO DT !jungle/NN NN IN JJ NN IN CD RB
junior	VV DT JJ !junior/JJ NN IN JJ NN
juniors	CD NN IN NN !junior/NNS NN CC NN
jurassic	VV CD NN IN NN NN NN !Jurassic/JJ NN NN
just	CD MD VV IN !just/RB JJ
justice	!justice/NN NN NN IN JJ NN IN CD RB
justified	CD NN IN !justified/JJ
juvenile	VV CD NN IN NP NP JJ NN SYM CD NN IN NP !juvenile/JJ NN NN JJ NN NN NN SYM CD NN IN NN JJ JJ NN
jvc	NN IN !jvc/NN NN NN IN NN
jysk	!jysk/NN NN JJ NN
k	NN !k/NN NN NN NNS NNS
k&h	CD NN IN !k&h/NN VVG JJ NN NN
k-carafe	DT NN IN !k-carafe/NN NNS IN NN
k-cup	VV NN IN DT CD NNS IN !k-cup/NN NNS
k-cups	NNS !k-cups/NNS NNS NN CD VVP CD JJ
k-kup	VV TO VV NN NN JJ NN NN SYM CD NN NN IN !k-kup/NN NNS
k.	VV CD NN IN JJ !k./JJ NNS CD IN CD NN NN
k15	NN IN NN !k15/NN NN
k2	VV CD NN IN NN !k2/NN NN
k200	CD NN IN NN !k200/NN CC NN IN JJ NN
k3	VV CD NN IN NN !k3/NN NN JJ NN NN NN
k40	NN !k40/NN JJ VVP NN NN IN RB JJ
k50	CD NN IN NN !k50/NN JJ NN NN
k500	VV DT NN CD !k500/NN NN NN
k550	NN !k550/NN NN IN NN
k60	VV NN !k60/NN JJ NN NN NN SYM CD NN NNS SYM NN NN IN RB JJ
kabob	NN CD NNS JJ CC NN NN CC VV CD JJ NN !kabob/NN
kai	CD NN IN NN NN SYM !kai/NN NN
kalani	VV CD NN IN NP !Kalani/NP JJ JJ NN
kallax	VV CD NN IN DT !kallax/NN NN NNS SYM NN NNS IN NN DT
kalorik	VV CD NN IN !kalorik/NN IN NN JJ JJ NN
kandoo	!kandoo/NP JJ NNS
kane	VV CD NN IN NN !kane/NN
kanken	VV NN !kanken/JJ JJ NN IN NN
kantee	CD NN IN JJ !kantee/NN
karat	VV DT CD !karat/NN NN NN NN NNS IN NP NNS IN RB JJ
karcher	VV CD NN IN !karcher/NN NN NN JJ NN NN NN
karina	VV CD NN RP IN NNS !karina/NN JJ NN NN IN NN
karma	CD NN IN NN !karma/NN
kart	VV CD NN IN JJ JJ NN CD IN NN !kart/NN CD IN JJ NN
kashi	JJ IN !kashi/NN NN NNS
kat	VV CD NN IN JJ JJ JJ NN !kat/NN CD NN IN NN CC NN
kate	!kate/JJ NN NN NN
katee	VV CD NN IN !katee/NN NN JJ VV NP NN
kattee	CD NN IN !kattee/NN JJ NN NN NN NN VVD JJ JJ NN
kawasaki	JJ NN NNS !Kawasaki/NP NP NN
kayak	CD NN IN NP NP NN !kayak/NN NN
kazam	CD NN IN !kazam/NN NN VV NN
keaton	CD NN IN NN NN NN NN NN IN NNS !keaton/NN
keds	!ked/NNS
keeper	VV CD NN IN NN NN JJ NN NN !keeper/NN NN
keeping	VV CD NN IN !keep/VVG RP NNS
keepsake	VV CD NN IN NN !keepsake/NN CD NN NN NN NNS NN
keet	VV CD NN IN !keet/JJ JJ NNS NN
kelloggs	CD NN IN !kelloggs/NNS NN NNS NN JJ JJ NN
kelseys	!kelseys/NNS NN NNS NN NN
kelsyus	CD NN IN !kelsyus/NN NN NN
kenmore	!kenmore/RB JJ NN IN JJ
kenmore/	VV !kenmore//JJ NN CD NN
kennel	VV CD NN IN NN CD IN CD JJ JJ !kennel/NN NN
kenneth	JJ !kenneth/NN NN JJ VV
kentucky	!kentucky/JJ JJ NN NN NNS
kenwood	VV CD NN IN !kenwood/NN NN NN NN NN NN
kenya	!Kenya/NP
kernels	!kernel/VVZ NN NN
keter	CD NN IN !keter/JJR NP NN NN NN NN NN NN
kettle	VV CD NN IN NN JJ !kettle/NN
keurig	!keurig/NP NP NNS
kevin	NN NNS VVP DT !kevin/NN NN NN NN
key	VV CD NN IN JJ NN NN !key/JJ TO PP$ NN CD NN NN NP
keyboard	VV CD NN IN JJ JJ JJ NN NN CD NN IN NN CC !keyboard/NN
keychain	VV CD NN IN NN NN NNS !keychain/NN
keyed	VV JJ JJ NN IN CD CD IN !keyed/JJ NN IN NP
keyfit	CD NN IN NN !keyfit/NN JJ NN NN
keyless	CD NN IN NNS !keyless/JJ NN NN
keypad	VV CD NN IN NN NN NN !keypad/NN NN
kfc	!kfc/NN NN JJ NNS
kg	JJ JJ NN NN WRB PP VVP DT JJ NN NN SYM CD NN IN NN NN CD !kg/NN SYM CD NN IN DT JJR NNS
khakis	VV NN CD NNS CC NNS IN NP SYM NNS !khaki/NNS IN NN
kick	VV CD NN IN NN NN !kick/NN NN VVP JJ NN
kicking	!kick/VVG NN NN NNS
kickoff	NN NN NN !kickoff/NN NN
kid	CD NN IN VV NN NN JJ !kid/NN
kidco	!kidco/NN NN NN NN VVD
kiddie	VV CD NN IN NN !kiddy/NN NN
kiddopotamus	VV CD NN IN !kiddopotamus/NNS VHP PP DT NN
kiddy	VV DT !kiddy/NN NN IN JJ NN
kidizoom	CD NN IN NN !kidizoom/NN NN
kidkraft	CD NN IN !kidkraft/NN JJ NN
kids	!kid/NNS
kidsembrace	CD NN IN !kidsembrace/NN JJ NN VVD NN
kidtrax	VV CD NN IN !kidtrax/NP NP NP NN NN NN
kiehls	!kiehls/NNS NN NN
killer	CD NN IN JJ JJ NN !killer/NN
kilograms	CD !kilogram/NNS
kind	CD NN IN JJ NNS IN DT JJ !kind/NN NN
